lat,lng,location
30.3385805,-97.7139178,W Odell St And Guadalupe St in Austin (TX)
30.3288756,-97.7204271,Guadalupe St And Denson Dr in Austin (TX)
30.2440682,-97.7822108,2820 S Lamar in Austin (TX)
30.267153,-97.7430608,5100 West Us Hwy 290 Svrd Wb in Austin (TX)
30.2137599,-97.7201348,5100 West Ben White Blvd in Austin (TX)
30.2362133,-97.8262349,5100 Us-290 in Austin (TX)
30.2379901,-97.8258307,5100 Us 290 #302 in Austin (TX)
30.4108644,-97.9160589,10101 S 1St St #8 in Austin (TX)
30.290884,-97.641345,6101 Toscana Ave in Austin (TX)
30.2910084,-97.647016,Sendero Hills / Mlk in Austin (TX)
30.292946,-97.642735,6140 Seville Dr in Austin (TX)
30.2905165,-97.6441914,5912 Pinion in Austin (TX)
30.286899,-97.64689,5508 Toscana in Austin (TX)
30.1807597,-97.721997,5808 Mckinney Falls Pkwy in Austin (TX)
30.1891287,-97.7679054,Bluff Springs And William Cannon in Austin (TX)
30.2842871,-97.636466,8207 Canoga Ave in Austin (TX)
30.159958,-97.7408942,Roseborough Dr And Running Water in Austin (TX)
30.1642634,-97.7368316,7413 Crepe Myrtle Dr in Austin (TX)
30.2735262,-97.6389491,8509 Fm 969 in Austin (TX)
30.3029683,-97.6496185,6200 Loyola Lane in Austin (TX)
30.2331093,-97.6270136,973 And Platt Ln in Austin (TX)
30.3010887,-97.6467738,6711 Johnny Morrios in Austin (TX)
30.211487,-97.6144424,13613 Fallwell Ln in Austin (TX)
30.2023861,-97.6376368,Fm 973 And Hwy 71 in Austin (TX)
30.232676,-97.637435,10803 Platt Ln in Austin (TX)
30.267153,-97.7430608,Outside Jurisdiction
