"lat","lng","total","bird","cat","dog","livestock","other","year2013","year2014","year2015","year2016","Jan","Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Dec","hour0","hour1","hour2","hour3","hour4","hour5","hour6","hour7","hour8","hour9","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour20","hour21","hour22","hour23"
30.18125,-97.7838,256,0,123,117,0,16,16,84,75,81,6,10,11,33,29,22,15,23,35,44,13,15,2,0,0,0,0,0,1,1,0,5,8,48,34,31,24,39,16,10,17,9,1,2,5,3
30.20375,-97.7838,524,2,197,294,0,31,35,172,178,139,30,29,38,31,50,60,53,57,47,52,38,39,1,1,0,0,1,0,1,23,5,9,17,88,70,70,53,45,59,35,26,7,2,0,7,4
30.22625,-97.7838,380,0,171,193,0,16,23,134,130,93,27,22,22,31,43,49,33,27,32,42,35,17,3,0,0,0,1,1,1,14,5,7,16,67,49,38,25,30,47,32,31,1,4,0,4,4
30.24875,-97.7838,173,2,84,74,0,13,6,47,76,44,12,10,13,10,13,29,26,11,25,12,5,7,1,0,0,0,0,0,1,3,10,1,5,21,17,14,26,28,24,9,9,0,0,3,1,0
30.27125,-97.7838,57,0,25,26,0,6,2,17,17,21,1,2,6,3,4,5,5,10,5,10,3,3,0,0,0,0,0,0,0,1,2,0,2,14,13,8,2,3,5,3,2,0,0,2,0,0
30.29375,-97.7838,37,1,15,12,0,9,1,14,11,11,2,1,3,7,6,3,4,3,1,4,1,2,1,0,0,0,0,0,1,0,0,0,1,12,2,4,1,5,4,1,4,0,0,0,0,1
30.31625,-97.7838,11,1,4,4,0,2,0,2,5,4,1,0,0,3,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,1,0,0,0,1,0,1
30.33875,-97.7838,24,0,9,6,0,9,1,9,2,12,2,0,6,3,1,2,0,0,3,4,1,2,0,0,0,0,0,0,0,1,0,0,1,2,4,1,0,7,0,2,4,0,0,0,0,2
30.36125,-97.7838,29,0,9,15,0,5,2,9,7,11,1,0,1,1,3,2,6,8,1,2,2,2,0,0,0,0,0,0,0,2,0,1,1,10,3,4,4,1,1,0,1,1,0,0,0,0
30.38375,-97.7838,5,0,3,2,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0
30.40625,-97.7838,14,0,3,9,0,2,1,5,3,5,0,3,3,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,1,1,3,0,0,0,0,0,0
30.18125,-97.7682,530,0,243,276,0,11,11,188,181,150,28,29,18,46,68,49,77,60,31,69,30,25,2,0,0,1,0,0,1,6,6,10,21,70,70,43,82,63,46,39,37,16,1,3,11,2
30.20375,-97.7682,396,1,169,204,0,22,28,140,117,111,34,24,19,20,43,41,51,39,27,44,37,17,0,0,2,0,0,0,2,7,9,8,16,58,60,48,27,48,34,37,25,6,6,0,2,1
30.22625,-97.7682,364,5,183,144,0,32,39,106,132,87,17,38,27,15,34,41,31,22,19,42,41,37,5,1,0,0,0,0,4,3,4,5,11,48,60,46,38,49,33,18,20,8,0,6,3,2
30.24875,-97.7682,258,0,106,132,0,20,11,79,100,68,14,13,34,12,50,23,22,21,15,15,24,15,0,0,0,0,0,0,0,6,4,6,3,60,26,35,28,22,31,14,15,2,0,1,1,4
30.27125,-97.7682,191,1,51,113,0,26,10,75,54,52,10,13,11,11,19,13,27,21,17,25,13,11,1,0,0,0,0,1,0,4,1,4,13,30,22,21,11,17,25,15,19,1,0,2,1,3
30.29375,-97.7682,107,1,37,40,0,29,3,37,28,39,9,4,9,6,3,17,15,7,7,11,9,10,1,1,0,0,0,0,0,1,4,5,3,17,17,17,14,3,6,4,4,2,2,1,1,4
30.31625,-97.7682,47,1,14,20,0,12,6,14,13,14,3,1,7,2,6,1,6,3,5,6,1,6,0,0,0,0,0,0,0,0,3,1,1,5,2,5,3,9,8,3,2,1,0,0,4,0
30.33875,-97.7682,28,0,14,7,0,7,1,11,10,6,1,0,3,5,2,2,1,2,1,6,4,1,0,0,0,0,0,0,0,0,0,0,1,11,1,3,1,5,2,0,3,0,0,0,0,1
30.36125,-97.7682,30,0,12,12,0,6,3,18,3,6,2,2,2,3,1,0,1,6,6,3,1,3,0,0,0,0,0,0,0,0,0,0,5,5,2,5,2,4,4,1,0,0,1,0,1,0
30.38375,-97.7682,25,0,7,18,0,0,1,14,4,6,0,3,2,3,3,2,3,2,1,1,5,0,0,0,0,0,0,0,0,1,1,1,0,3,6,1,1,5,1,1,4,0,0,0,0,0
30.40625,-97.7682,26,0,4,8,0,14,3,9,9,5,0,0,4,1,3,6,2,3,1,3,1,2,1,1,0,1,0,0,0,0,2,1,0,2,2,2,1,3,1,3,0,3,2,0,0,1
30.18125,-97.7526,669,2,249,404,1,13,52,240,233,144,39,33,51,64,77,61,83,60,40,79,44,38,1,2,0,0,0,0,3,9,2,8,19,121,82,72,67,60,82,42,61,10,2,14,5,7
