"Animal.ID","Name","DateTime","MonthYear","Found.Location","Intake.Type","Intake.Condition","Animal.Type","Sex.upon.Intake","Age.upon.Intake","Breed","Color"
"A724765","Bella","4/26/16 15:46","4/26/16 15:46","Austin (TX)","Owner Surrender","Normal","Dog","Intact Female","7 months","Pit Bull Mix","Brown"
"A725181","","4/26/16 16:31","4/26/16 16:31","1130 Airport Blvd in Austin (TX)","Stray","Normal","Dog","Intact Male","3 days","Pit Bull Mix","White/Black"
"A725186","*Magnolia","4/26/16 16:55","4/26/16 16:55","Burnet St And East Townes St in Travis (TX)","Stray","Normal","Dog","Intact Female","1 month","Catahoula Mix","Brown Merle/Tan"
"A725187","*Beau","4/26/16 16:55","4/26/16 16:55","Burnet St And East Townes St in Travis (TX)","Stray","Normal","Dog","Intact Male","1 month","Catahoula Mix","Brown Merle/Tan"
"A725207","","4/26/16 17:42","4/26/16 17:42","6900 Brodie Ln in Austin (TX)","Stray","Normal","Cat","Unknown","3 days","Domestic Shorthair Mix","Orange Tabby"
"A725200","Hippy","4/26/16 17:43","4/26/16 17:43","Yaupon Dr And Swan Valley Ln in Austin (TX)","Stray","Normal","Dog","Neutered Male","10 years","Border Terrier Mix","White"
"A725217","","4/26/16 18:24","4/26/16 18:24","Austin (TX)","Stray","Injured","Other","Unknown","4 weeks","Rabbit Sh Mix","Gray"
"A725240","*Cap'N Jack","4/27/16 7:19","4/27/16 7:19","4616 Edge Creek/ Barkdale in Austin (TX)","Stray","Normal","Cat","Intact Male","1 year","Domestic Shorthair Mix","Brown Tabby"
"A725235","*Daisy","4/27/16 7:31","4/27/16 7:31","6009 Constellation in Austin (TX)","Stray","Injured","Dog","Intact Female","1 year","Dachshund Wirehair Mix","Brown/Red"
"A725241","","4/27/16 7:37","4/27/16 7:37","Polk Rd in Austin (TX)","Stray","Nursing","Cat","Unknown","4 weeks","Domestic Medium Hair Mix","Gray Tabby/White"
"A725242","","4/27/16 7:37","4/27/16 7:37","Polk Rd in Austin (TX)","Stray","Nursing","Cat","Unknown","4 weeks","Domestic Medium Hair Mix","Gray Tabby/White"
"A725243","","4/27/16 7:37","4/27/16 7:37","Polk Rd in Austin (TX)","Stray","Nursing","Cat","Unknown","4 weeks","Domestic Medium Hair Mix","Gray Tabby/White"
"A725244","","4/27/16 7:37","4/27/16 7:37","Polk Rd in Austin (TX)","Stray","Nursing","Cat","Unknown","4 weeks","Domestic Medium Hair Mix","Gray Tabby/White"
"A725245","","4/27/16 9:01","4/27/16 9:01","18000 Blake Manor Rd in Travis (TX)","Stray","Injured","Dog","Neutered Male","3 years","German Shepherd Mix","White/Black"
"A725246","","4/27/16 9:39","4/27/16 9:39","Austin (TX)","Stray","Injured","Cat","Intact Male","3 years","Domestic Medium Hair Mix","Black"
"A725247","","4/27/16 9:44","4/27/16 9:44","Austin (TX)","Wildlife","Injured","Other","Unknown","2 years","Opossum Mix","Gray/Black"
"A725249","Trinity","4/27/16 10:38","4/27/16 10:38","S Pleasant Valley And E St Elmo Rd in Austin (TX)","Stray","Normal","Dog","Spayed Female","6 years","Labrador Retriever Mix","Black"
"A673902","Bullet","4/27/16 11:01","4/27/16 11:01","Springdale Rd And 183 Ln in Austin (TX)","Stray","Normal","Dog","Intact Male","3 years","Doberman Pinsch Mix","Fawn"
"A725252","*Jasmine","4/27/16 11:06","4/27/16 11:06","Gunter St & Hidalgo St in Austin (TX)","Stray","Normal","Cat","Intact Female","6 months","Domestic Shorthair Mix","Torbie/White"
"A574026","*Louie","4/27/16 11:13","4/27/16 11:13","505 Swanee Dr Apt 102 in Austin (TX)","Stray","Normal","Cat","Neutered Male","6 years","Domestic Shorthair Mix","White/Orange Tabby"
"A574029","*Louise","4/27/16 11:13","4/27/16 11:13","505 Swanee Dr Apt 102 in Austin (TX)","Stray","Normal","Cat","Spayed Female","7 years","Domestic Shorthair Mix","Calico"
"A724453","*Scooter","4/27/16 11:14","4/27/16 11:14","Austin (TX)","Owner Surrender","Normal","Dog","Neutered Male","6 months","Black Mouth Cur Mix","Brown"
"A725254","*Ginny","4/27/16 11:25","4/27/16 11:25","11613 N Ranch To Market 620 in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Calico"
"A725260","Charlie","4/27/16 11:27","4/27/16 11:27","2200 New York Ave in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Medium Hair Mix","Brown Tabby/White"
"A725261","*Crispin","4/27/16 11:27","4/27/16 11:27","2200 New York Ave in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Black/White"
"A698274","*Temple","4/27/16 11:33","4/27/16 11:33","6001 Airport Blvd in Austin (TX)","Stray","Normal","Dog","Spayed Female","4 years","Rat Terrier Mix","White/Black"
"A725258","Mellow","4/27/16 11:47","4/27/16 11:47","Austin (TX)","Stray","Normal","Dog","Intact Male","3 years","Doberman Pinsch Mix","Brown"
"A725256","","4/27/16 11:51","4/27/16 11:51","7536 Compass Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Orange Tabby/White"
"A725257","Dodger","4/27/16 11:56","4/27/16 11:56","5900 Clementine Ln in Austin (TX)","Stray","Normal","Dog","Intact Male","2 years","German Shepherd Mix","Black/Tan"
"A725259","*Crookshanks","4/27/16 12:21","4/27/16 12:21","7613 Bethune Ave in Austin (TX)","Stray","Injured","Cat","Intact Male","5 years","Domestic Medium Hair Mix","Blue"
"A725263","Hova","4/27/16 12:24","4/27/16 12:24","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","White/Brown Tabby"
"A725264","*Stitch","4/27/16 12:24","4/27/16 12:24","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Brown Tabby/White"
"A725262","Charlie","4/27/16 12:26","4/27/16 12:26","5800 Techni Center Dr in Austin (TX)","Stray","Normal","Dog","Intact Male","2 years","Chihuahua Shorthair Mix","Brown"
"A725265","","4/27/16 12:41","4/27/16 12:41","Manor Rd & E 51St St in Austin (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Shorthair Mix","Orange Tabby/White"
"A725266","","4/27/16 12:41","4/27/16 12:41","Manor Rd & E 51St St in Austin (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Shorthair Mix","Orange Tabby/White"
"A673831","Benji","4/27/16 12:42","4/27/16 12:42","Austin (TX)","Owner Surrender","Normal","Dog","Neutered Male","2 years","Boxer Mix","White"
"A490893","Mickey","4/27/16 13:03","4/27/16 13:03","Panadero Dr Thaxton Dr in Austin (TX)","Stray","Normal","Dog","Neutered Male","9 years","Siberian Husky","Red/White"
"A711116","Ginger","4/27/16 13:33","4/27/16 13:33","Outside Jurisdiction","Owner Surrender","Normal","Dog","Spayed Female","10 months","Labrador Retriever/Catahoula","Tan/White"
"A725269","*Sterling","4/27/16 13:58","4/27/16 13:58","100 Sky Loop in Austin (TX)","Stray","Normal","Cat","Neutered Male","1 year","Domestic Medium Hair Mix","Blue/White"
"A725271","*Rye","4/27/16 14:10","4/27/16 14:10","Winter Haven Dr And Baythorne Dr in Austin (TX)","Stray","Normal","Dog","Intact Female","2 years","Labrador Retriever Mix","Tan/Brown"
"A725272","Taco","4/27/16 14:31","4/27/16 14:31","5309 Westminster Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Shorthair Mix","Orange Tabby/White"
"A725273","*Luna","4/27/16 15:03","4/27/16 15:03","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","3 years","Domestic Shorthair Mix","Brown Tabby"
"A725274","*Sola","4/27/16 15:03","4/27/16 15:03","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","3 years","Domestic Shorthair Mix","Brown Tabby"
"A725275","Rudolph","4/27/16 15:12","4/27/16 15:12","Chicon St And E 11Th St in Austin (TX)","Stray","Normal","Dog","Neutered Male","8 months","Rhod Ridgeback Mix","Red"
"A725276","Turbey","4/27/16 15:21","4/27/16 15:21","2504 Tydings Cove in Austin (TX)","Stray","Normal","Cat","Neutered Male","16 years","Domestic Shorthair Mix","Brown Tabby/White"
"A725278","Lucy","4/27/16 15:29","4/27/16 15:29","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","5 years","Domestic Longhair Mix","Gray/White"
"A723885","*Valentino","4/27/16 15:33","4/27/16 15:33","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","2 years","Domestic Shorthair Mix","Black/White"
"A725281","","4/27/16 15:50","4/27/16 15:50","515 City Park Rd in Pflugerville (TX)","Stray","Normal","Cat","Unknown","3 weeks","Domestic Shorthair Mix","Black Tabby"
"A725282","","4/27/16 15:50","4/27/16 15:50","515 City Park Rd in Pflugerville (TX)","Stray","Normal","Cat","Unknown","3 weeks","Domestic Shorthair Mix","Blue Tabby"
"A725283","","4/27/16 15:50","4/27/16 15:50","515 City Park Rd in Pflugerville (TX)","Stray","Normal","Cat","Unknown","3 weeks","Domestic Shorthair Mix","Brown Tabby"
"A725279","Abby","4/27/16 15:51","4/27/16 15:51","Austin (TX)","Stray","Normal","Dog","Spayed Female","2 years","Boxer Mix","Brown Brindle/White"
"A690349","Bandit","4/27/16 15:51","4/27/16 15:51","Austin (TX)","Stray","Normal","Dog","Spayed Female","3 years","German Shepherd Mix","Sable"
"A725280","*Tabby","4/27/16 16:01","4/27/16 16:01","Camino Real & Romeria in Austin (TX)","Stray","Normal","Other","Intact Female","1 year","Rabbit Sh Mix","Black/White"
"A725290","","4/27/16 16:44","4/27/16 16:44","4404 E Oltorf in Austin (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Shorthair Mix","Orange Tabby"
"A704888","Gatsby","4/27/16 16:45","4/27/16 16:45","Austin (TX)","Owner Surrender","Normal","Dog","Neutered Male","4 years","Great Dane/Boxer","Black"
"A725286","Vita","4/27/16 16:48","4/27/16 16:48","5304 Downs Dr in Austin (TX)","Stray","Normal","Dog","Spayed Female","1 year","Siberian Husky Mix","White/Tan"
"A725287","","4/27/16 16:56","4/27/16 16:56","9601 Middle Fiskville in Austin (TX)","Stray","Injured","Cat","Intact Male","3 years","Domestic Shorthair Mix","Orange Tabby"
"A725289","","4/27/16 17:00","4/27/16 17:00","3000 Pescadero in Travis (TX)","Stray","Injured","Bird","Unknown","4 years","Vulture Mix","Black"
"A725292","Juliet","4/27/16 17:43","4/27/16 17:43","Austin (TX)","Stray","Normal","Dog","Spayed Female","12 years","Lhasa Apso","Red"
"A725293","*Leanna","4/27/16 17:48","4/27/16 17:48","5911 Wideleaf Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Torbie"
"A725294","","4/27/16 17:48","4/27/16 17:48","5911 Wideleaf Dr in Austin (TX)","Stray","Normal","Cat","Unknown","1 weeks","Domestic Shorthair Mix","White"
"A725295","","4/27/16 17:48","4/27/16 17:48","5911 Wideleaf Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","1 weeks","Domestic Shorthair Mix","Brown Tabby"
"A725296","","4/27/16 17:48","4/27/16 17:48","5911 Wideleaf Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","1 weeks","Domestic Shorthair Mix","Black"
"A725297","","4/27/16 17:48","4/27/16 17:48","5911 Wideleaf Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Torbie/White"
"A725298","","4/27/16 17:48","4/27/16 17:48","5911 Wideleaf Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","1 year","Siamese Mix","Lynx Point"
"A318574","Huey","4/27/16 18:17","4/27/16 18:17","4412 Brandt Rd in Austin (TX)","Stray","Normal","Cat","Neutered Male","13 years","Domestic Shorthair","Brown Tabby"
"A725300","Sandy","4/27/16 19:06","4/27/16 19:06","9323 Manchaca Rd in Austin (TX)","Stray","Normal","Dog","Spayed Female","2 years","Jack Russell Terrier Mix","White/Tan"
"A725304","Bubba","4/27/16 23:40","4/27/16 23:40","1500 City Park Road in Austin (TX)","Public Assist","Normal","Dog","Intact Male","1 year","Pit Bull Mix","Yellow Brindle"
"A725306","","4/28/16 8:03","4/28/16 8:03","Copeland/S 1St in Austin (TX)","Stray","Nursing","Cat","Unknown","3 days","Domestic Shorthair Mix","Orange Tabby"
"A725307","","4/28/16 8:03","4/28/16 8:03","Copeland/S 1St in Austin (TX)","Stray","Nursing","Cat","Unknown","3 days","Domestic Shorthair Mix","Orange Tabby"
"A725308","","4/28/16 8:03","4/28/16 8:03","Copeland/S 1St in Austin (TX)","Stray","Nursing","Cat","Unknown","3 days","Domestic Shorthair Mix","Brown Tabby"
"A725309","","4/28/16 8:03","4/28/16 8:03","Copeland/S 1St in Austin (TX)","Stray","Nursing","Cat","Unknown","3 days","Domestic Shorthair Mix","Brown Tabby"
